numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
0,0,100,1,0,0,40,58,39,1,0,0,0,4,58,FALSE
68,1,65,9,0,0,43,55,33,3,34,1,34,1,55,TRUE
27,14,62,2,0,0,54,60,37,54,23,14,23,1,60,TRUE
21,25,67,20,0,0,59,61,36,33,13,24,13,0,35,TRUE
0,0,100,27,0,2,66,65,31,10,0,0,0,4,20,FALSE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
7,11,86,37,0,15,56,44,55,19,4,10,4,1,44,TRUE
17,15,81,27,0,14,62,36,61,15,13,14,13,0,35,TRUE
0,0,100,1,0,0,46,52,45,1,0,0,0,1,52,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
0,0,100,1,0,0,37,61,36,1,0,0,0,5,61,FALSE
0,0,100,0,0,0,31,67,30,2,0,0,0,2,67,FALSE
0,0,100,12,0,0,50,48,48,2,0,0,0,6,48,FALSE
0,0,100,16,0,14,54,54,53,19,0,0,0,0,54,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
0,0,100,12,0,0,50,48,49,1,0,0,0,3,21,FALSE
100,0,46,0,0,0,45,53,44,1,45,0,53,1,53,TRUE
26,16,70,29,0,6,52,52,45,26,14,15,14,2,52,TRUE
100,0,79,0,0,0,78,20,77,1,78,0,20,0,20,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
8,42,56,14,0,7,54,47,53,27,6,41,6,0,47,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
0,14,86,29,0,10,42,56,41,19,0,14,0,1,24,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
100,0,46,0,0,0,45,53,44,1,45,0,53,0,53,TRUE
22,23,69,0,0,6,66,66,65,17,14,23,14,0,66,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
0,0,100,4,0,0,55,63,54,1,0,0,0,1,63,FALSE
2,0,98,10,0,0,64,34,63,1,2,0,0,0,29,FALSE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
0,0,100,2,0,0,33,65,32,2,0,0,0,2,65,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,0,52,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
40,0,82,2,0,1,59,74,23,25,21,0,21,2,74,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
0,20,80,30,0,13,59,48,58,18,0,20,0,4,48,TRUE
0,24,76,20,0,2,37,69,28,19,0,23,0,5,39,TRUE
0,0,100,23,0,19,56,56,55,30,0,0,0,4,42,TRUE
24,7,83,7,0,15,67,67,66,17,14,7,14,1,67,TRUE
0,0,100,4,0,0,49,52,48,1,0,0,0,17,52,FALSE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
0,0,100,14,0,0,60,38,59,1,0,0,0,13,38,FALSE
1,0,99,6,0,0,57,41,56,1,1,0,0,10,33,FALSE
14,0,93,12,0,6,53,73,24,28,7,0,7,1,73,TRUE
32,12,78,20,0,4,53,53,44,17,22,11,11,4,33,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,1,51,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
0,0,100,9,0,0,38,60,37,1,0,0,0,9,51,FALSE
0,4,96,35,0,18,55,48,54,23,0,4,0,3,43,TRUE
30,0,85,22,0,0,55,43,10,19,15,0,15,4,19,FALSE
2,0,99,42,0,0,46,52,39,9,1,0,1,0,52,FALSE
100,0,57,0,0,0,56,42,55,1,56,0,42,1,42,TRUE
1,0,99,9,0,1,50,63,49,1,1,0,0,5,14,FALSE
8,32,64,16,0,14,67,63,66,11,4,31,4,0,63,TRUE
49,3,73,6,0,3,38,65,32,23,24,3,24,2,65,TRUE
0,8,92,25,0,22,63,57,62,23,0,8,0,2,44,TRUE
32,31,53,27,0,2,51,47,50,28,16,30,16,0,43,TRUE
0,0,100,4,0,0,45,53,44,1,0,0,0,1,11,FALSE
1,0,99,6,0,0,59,39,58,2,0,0,1,3,31,FALSE
100,0,47,0,0,0,46,52,45,1,46,0,52,0,52,TRUE
0,0,100,4,0,0,37,61,36,1,0,0,0,1,61,FALSE
39,0,89,8,0,3,41,59,38,29,27,0,25,1,29,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
100,0,48,0,0,0,47,51,46,1,47,0,51,0,51,TRUE
2,0,98,5,0,0,63,70,62,1,2,0,0,2,11,FALSE
54,9,68,9,0,0,39,59,38,17,30,9,22,1,21,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
8,17,81,13,0,29,84,62,83,13,6,16,4,0,62,TRUE
