numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
0,0,100,4,0,1,60,62,59,2,0,0,0,1,62
0,0,100,4,0,0,63,65,62,1,0,0,0,0,65
7,0,93,3,0,0,59,60,58,1,7,0,0,1,60
0,0,100,2,0,0,63,63,62,1,0,0,0,1,63
0,0,100,2,0,0,60,60,59,1,0,0,0,0,60
9,0,91,6,0,0,53,45,50,3,9,0,2,23,33
0,1,100,0,0,0,50,57,49,1,0,0,0,1,57
0,0,100,4,0,0,53,65,52,1,0,0,0,1,65
2,0,98,3,0,6,49,54,48,7,2,0,0,0,54
0,0,100,2,0,0,56,65,55,1,0,0,0,1,65
0,0,100,2,0,0,52,61,51,1,0,0,0,1,61
1,0,99,3,0,1,50,57,49,2,1,0,0,1,35
4,0,96,2,0,0,54,62,53,2,4,0,0,2,60
1,1,100,5,0,2,56,62,55,3,0,0,1,1,62
0,0,100,4,0,1,58,62,57,1,0,0,0,1,62
0,0,100,1,0,0,61,66,60,1,0,0,0,0,66
0,1,100,2,0,0,55,60,54,1,0,0,0,1,60
6,0,94,5,0,0,55,57,54,2,6,0,0,18,23
1,1,99,2,0,0,57,63,56,1,1,0,0,1,63
2,0,98,1,0,0,48,50,47,1,2,0,0,1,40
5,2,95,4,0,0,48,50,43,2,5,0,0,18,32
0,0,100,5,0,0,48,56,47,2,0,0,0,4,52
3,2,97,5,0,0,46,52,43,5,3,1,0,8,44
6,1,94,8,0,1,49,49,34,7,6,1,0,3,44
2,0,99,6,0,0,46,59,45,2,1,0,1,2,59
0,0,100,10,0,2,42,56,38,5,0,0,0,1,29
1,0,99,10,0,0,47,56,46,3,1,0,0,1,56
0,0,100,0,0,0,59,59,58,1,0,0,0,37,22
4,0,96,1,0,0,62,62,61,1,4,0,0,0,62
2,0,98,2,0,0,50,52,49,1,2,0,0,2,42
3,3,97,1,0,2,48,50,46,5,3,3,0,2,50
1,0,99,3,0,0,51,54,50,1,1,0,0,1,54
0,0,100,4,0,0,61,63,60,1,0,0,0,2,63
3,0,97,3,0,0,51,47,50,1,3,0,0,3,47
3,0,97,2,0,0,51,56,50,1,3,0,0,1,35
0,0,100,3,0,0,59,61,58,1,0,0,0,3,61
2,0,98,2,0,0,59,59,58,1,2,0,0,0,59
2,0,98,0,0,0,54,54,53,2,2,0,0,0,54
4,0,97,6,0,1,52,53,51,4,3,0,1,2,53
0,1,100,6,0,0,58,65,57,1,0,0,0,1,65
1,1,99,3,0,0,58,60,57,1,1,0,0,1,60
1,0,99,2,0,0,58,59,57,1,1,0,0,1,59
0,0,100,5,0,0,54,62,53,3,0,0,0,1,62
0,0,100,3,0,0,48,64,47,4,0,0,0,1,63
4,0,96,3,0,1,48,55,47,6,4,0,0,3,55
4,1,96,10,0,0,45,53,44,1,4,0,1,13,17
4,0,96,5,0,0,43,55,42,1,4,0,0,1,55
5,0,95,6,0,0,43,55,42,1,5,0,0,2,55
0,0,100,0,0,0,44,54,43,1,0,0,0,1,54
0,0,100,6,0,0,46,52,45,1,0,0,0,2,21
5,0,95,1,0,0,57,61,56,1,5,0,0,0,61
0,2,100,1,0,0,60,64,59,1,0,0,0,2,64
4,0,96,2,0,0,52,52,51,1,4,0,1,2,40
0,1,100,3,0,2,58,61,57,1,0,0,0,1,61
0,0,100,1,0,0,55,57,54,1,0,0,0,1,57
7,1,94,4,0,0,51,55,50,1,5,1,2,3,55
0,0,100,2,0,0,62,64,61,1,0,0,0,1,64
1,0,99,4,0,0,49,51,48,1,1,0,0,1,51
2,0,98,3,0,0,55,56,54,1,2,0,0,0,39
0,0,100,4,0,0,63,65,62,1,0,0,0,0,65
7,0,93,3,0,0,53,45,52,1,7,0,0,1,45
0,0,100,4,0,0,58,60,57,1,0,0,0,2,60
0,0,100,1,0,0,64,65,63,1,0,0,0,1,65
0,0,100,1,0,0,63,65,62,1,0,0,0,0,65
4,0,96,3,0,0,62,62,61,1,4,0,0,0,62
1,0,99,1,0,0,62,64,61,1,1,0,0,1,64
0,1,100,1,0,0,65,66,64,1,0,0,0,0,66
4,0,96,2,0,0,53,54,52,1,4,0,0,0,54
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,1,100,1,0,0,64,65,63,1,0,0,0,0,65
3,0,97,2,0,0,57,57,56,1,3,0,0,0,57
0,2,100,1,0,0,64,66,63,1,0,0,0,0,66
0,0,100,2,0,0,65,65,64,1,0,0,0,0,65
6,0,94,2,0,0,61,61,60,1,6,0,0,0,61
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
4,0,96,3,0,0,55,58,54,3,4,0,0,0,33
3,0,97,6,0,0,54,55,53,3,2,0,0,1,54
0,0,100,3,0,0,53,59,52,2,0,0,0,5,53
5,0,95,4,0,0,56,56,55,2,5,0,0,1,56
0,0,100,0,0,0,66,66,65,1,0,0,0,0,66
7,0,93,4,0,4,53,45,44,4,7,0,0,1,43
0,0,100,4,0,0,62,64,61,2,0,0,0,2,62
0,0,100,2,0,0,64,65,63,2,0,0,0,1,65
0,0,100,1,0,0,65,65,64,1,0,0,0,1,65
1,0,99,1,0,0,62,62,61,1,1,0,0,5,62
2,0,99,2,0,0,53,54,52,2,1,0,1,2,41
2,0,99,2,0,0,61,64,60,2,1,0,1,1,64
2,0,99,3,0,0,56,59,55,3,1,0,1,2,59
8,0,92,3,0,0,49,50,48,5,7,0,1,1,37
0,0,100,7,0,0,58,64,57,3,0,0,0,3,61
1,0,99,2,0,0,51,53,50,3,1,0,0,0,53
2,0,98,3,0,0,52,56,51,2,1,0,0,4,52
0,0,100,1,0,0,64,65,63,2,0,0,0,1,65
4,0,97,7,0,5,51,56,50,6,3,0,1,4,52
0,0,100,1,0,0,66,66,65,1,0,0,0,0,66
0,0,100,5,0,0,57,61,56,4,0,0,0,0,61
5,0,95,7,0,0,56,58,55,5,5,0,0,33,24
0,0,100,1,0,0,64,64,63,2,0,0,0,0,64
0,0,100,4,0,2,46,52,45,4,0,0,0,5,47
6,0,95,13,0,0,45,57,44,5,5,0,1,3,25
0,0,100,7,0,0,38,65,37,3,0,0,0,0,65
2,0,99,3,0,0,53,57,52,3,1,0,1,1,57
6,0,94,3,0,0,58,58,57,6,6,0,0,0,58
1,0,100,3,0,0,62,63,61,1,0,0,1,1,63
1,0,99,4,0,1,50,50,49,2,1,0,0,18,41
0,0,100,5,0,1,47,53,46,2,0,0,0,2,40
4,0,96,2,0,1,56,57,55,1,4,0,0,1,57
0,0,100,8,0,0,45,57,44,3,0,0,0,0,57
2,0,98,3,0,0,49,49,47,2,2,0,0,0,49
0,0,100,12,0,0,44,54,33,3,0,0,0,2,25
0,0,100,2,0,1,39,60,38,2,0,0,0,1,20
0,1,100,2,0,0,63,65,62,3,0,0,0,1,65
3,0,97,9,0,1,46,56,45,4,3,0,0,2,56
0,5,100,2,0,0,56,57,55,6,0,5,0,6,57
3,0,97,7,0,3,50,48,48,2,3,0,0,0,37
0,0,100,3,0,1,57,61,56,4,0,0,0,1,61
3,0,97,6,0,0,50,60,49,3,3,0,0,2,59
0,0,100,1,0,0,62,65,61,2,0,0,0,0,65
