numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
30,4,86,18,0,10,49,49,48,15,20,3,16,7,49
4,0,99,27,0,24,71,68,70,15,3,0,3,3,65
11,1,93,18,0,21,71,53,70,10,6,1,6,2,53
21,5,85,17,0,4,68,68,29,23,10,5,10,1,30
24,6,82,15,0,6,66,66,31,17,12,5,12,3,32
43,6,72,22,0,12,55,55,54,33,21,6,21,1,55
23,6,83,15,0,5,67,67,30,36,11,6,11,4,28
8,7,89,13,0,3,79,79,18,30,4,7,4,1,79
32,8,75,23,0,8,52,52,45,24,17,8,17,2,52
11,3,92,15,0,4,74,74,23,25,5,3,5,0,24
24,8,80,23,0,10,56,56,41,25,12,7,12,2,41
28,4,82,9,0,1,74,74,23,19,14,3,14,1,24
30,2,95,19,0,22,75,72,74,19,27,1,24,0,72
5,1,98,31,0,23,65,65,64,29,3,1,3,0,65
8,2,97,12,0,24,86,86,85,12,7,1,7,0,86
13,4,92,28,0,17,63,54,62,25,9,4,6,1,54
16,7,86,17,0,7,56,46,55,23,8,7,7,3,31
14,6,94,0,0,23,84,84,83,5,13,6,13,7,84
33,4,83,6,0,1,44,72,25,21,20,3,15,3,72
58,0,82,1,0,0,57,58,39,26,39,0,39,4,28
16,22,75,17,0,3,45,56,41,28,13,22,12,0,32
41,32,58,3,0,1,64,61,63,16,31,31,30,6,46
46,10,74,11,0,3,49,49,48,18,30,10,20,3,24
12,41,57,10,0,0,50,50,49,11,9,41,9,0,50
7,56,42,18,0,0,60,60,59,14,5,55,5,8,47
4,67,31,11,0,1,73,66,72,8,2,66,2,0,66
23,5,83,19,0,9,60,60,37,19,12,5,12,2,38
26,7,80,14,0,3,68,68,28,22,13,7,12,1,68
29,4,82,15,0,9,59,60,35,16,14,4,15,7,33
26,8,79,17,0,4,64,65,32,20,13,8,13,1,65
14,7,86,24,0,7,54,58,30,18,7,6,7,6,58
26,5,82,19,0,5,59,64,30,18,13,4,13,2,64
24,7,81,22,0,4,55,61,32,19,12,6,12,0,33
28,10,75,14,0,2,69,69,27,19,14,9,14,1,69
26,8,80,17,0,5,60,61,33,16,13,8,12,1,59
27,15,80,24,0,4,50,48,47,14,20,15,15,1,30
38,30,62,10,0,8,73,73,72,11,30,29,30,0,73
23,4,90,18,0,17,71,66,70,12,17,4,12,0,66
6,17,81,21,0,14,63,54,62,17,4,17,2,1,54
20,26,70,20,0,1,47,51,46,30,15,26,12,1,37
4,41,58,16,0,1,45,53,44,16,3,40,3,2,53
10,60,38,15,0,0,73,59,67,9,8,59,6,3,59
6,57,40,15,0,3,67,56,66,10,3,56,3,25,31
6,45,52,15,0,2,54,44,53,11,3,45,3,7,18
0,56,44,15,0,1,58,53,57,14,0,55,0,7,46
4,28,70,24,0,12,63,54,62,13,2,27,2,6,42
6,44,53,13,0,6,65,60,64,11,3,43,3,0,60
8,43,53,11,0,0,48,50,46,21,4,43,4,5,50
32,14,73,22,0,4,46,52,43,16,19,13,13,1,31
16,5,87,16,0,5,69,70,27,22,7,5,7,1,70
23,12,76,20,0,6,60,61,36,18,11,12,11,0,36
16,6,86,22,0,7,63,63,34,17,8,5,8,1,63
26,7,80,19,0,7,59,59,38,19,13,7,13,0,39
21,11,78,24,0,6,59,59,38,22,11,10,11,1,59
19,6,85,17,0,6,66,66,31,25,9,6,9,1,66
31,11,76,19,0,5,57,57,40,22,18,10,13,1,39
20,10,82,20,0,5,51,62,35,18,12,10,8,2,23
41,8,74,9,0,4,51,60,37,40,22,8,20,2,34
39,3,81,4,0,4,58,59,38,44,22,3,22,3,25
38,2,79,12,0,7,40,58,39,23,18,2,19,1,58
55,0,90,12,0,8,72,72,71,16,44,0,44,0,72
8,0,99,22,0,24,76,76,75,21,6,0,6,0,76
2,0,99,41,0,17,57,57,56,32,1,0,1,1,57
4,5,93,13,0,28,63,51,62,19,2,5,2,1,51
9,10,88,17,0,10,75,62,74,16,6,10,4,0,62
13,24,71,4,0,0,59,66,31,33,8,24,8,2,32
20,40,53,11,0,0,52,50,51,19,13,39,11,5,46
9,55,42,13,0,0,60,58,59,15,5,55,4,0,58
4,82,18,2,0,0,85,85,84,5,4,81,4,0,85
12,39,56,14,0,1,50,51,46,24,7,38,7,0,45
27,22,69,13,0,11,65,53,64,19,18,21,14,0,53
16,8,87,18,0,14,65,51,64,13,11,7,7,7,51
16,13,79,25,0,6,61,61,36,29,8,13,8,2,61
17,7,84,21,0,6,63,63,34,21,8,7,8,9,33
17,10,81,20,0,5,64,64,33,22,8,10,8,10,29
18,14,77,25,0,8,57,57,40,18,9,13,9,5,35
21,7,82,22,0,7,60,60,37,23,11,7,11,1,60
29,9,77,14,0,3,68,68,29,20,14,9,14,1,29
11,9,85,29,0,9,55,55,42,21,6,9,6,1,43
20,11,79,20,0,5,63,63,34,21,10,10,10,1,63
31,10,80,16,0,3,58,58,39,18,20,10,11,6,23
42,1,97,17,0,17,73,68,72,14,40,1,37,0,68
8,9,87,20,0,14,68,64,67,19,4,9,4,1,64
38,15,70,12,0,3,46,52,45,16,23,14,17,1,31
27,26,65,3,0,0,43,55,42,23,18,25,16,8,21
62,1,80,1,0,0,54,55,42,26,42,1,42,3,39
34,10,80,17,0,4,45,53,44,12,23,10,17,7,24
10,51,49,13,0,0,60,58,59,11,10,50,10,15,22
23,48,45,14,0,0,63,63,62,15,16,47,16,0,63
8,50,46,29,0,1,56,50,55,21,4,49,4,2,48
